,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 1 ror,ror,146.0,DE0 1,1978,1978.0,2078
DE0 1 ror,ror,46.7,DE0 1,2010,2010.0,2110
DE0 2 ror,ror,12.0,DE0 2,1981,1981.0,2081
DE0 A ror,ror,14.0,DE0 A,1938,1938.0,2038
DE0 2 ror,ror,12.2,DE0 2,1980,1980.0,2080
DE0 B ror,ror,12.1,DE0 B,1985,1985.0,2085
DE0 2 ror,ror,10.9,DE0 2,1956,1956.0,2056
DE0 1 ror,ror,65.0,DE0 1,1918,1926.0,2026
DE0 2 ror,ror,35.1,DE0 2,1960,1960.0,2060
DE0 2 ror,ror,23.2,DE0 2,1955,1955.0,2055
DE0 2 ror,ror,23.3,DE0 2,1992,1992.0,2092
DE0 2 ror,ror,10.1,DE0 2,1966,1966.0,2066
DE0 2 ror,ror,25.0,DE0 2,1930,1930.0,2030
DE0 2 ror,ror,12.4,DE0 2,1983,1983.0,2083
DE0 B ror,ror,13.6,DE0 B,1964,1964.0,2064
DE0 B ror,ror,20.0,DE0 B,1965,1965.0,2065
DE0 1 ror,ror,14.2,DE0 1,1924,1924.0,2024
DE0 2 ror,ror,21.5,DE0 2,1994,1994.0,2094
DE0 2 ror,ror,24.1,DE0 2,1938,1938.0,2038
DE0 2 ror,ror,25.0,DE0 2,1938,1938.0,2038
DE0 B ror,ror,18.8,DE0 B,1962,1962.0,2062
DE0 2 ror,ror,85.3,DE0 2,1924,1924.0,2024
DE0 2 ror,ror,92.0,DE0 2,1960,1983.0,2083
DE0 B ror,ror,20.0,DE0 B,1962,1962.0,2062
DE0 2 ror,ror,53.7,DE0 2,1927,1927.0,2027
DE0 2 ror,ror,132.059,DE0 2,1955,1955.0,2055
DE0 2 ror,ror,19.8,DE0 2,1971,1971.0,2071
DE0 2 ror,ror,12.6,DE0 2,1984,1984.0,2084
DE0 B ror,ror,16.0,DE0 B,1951,1951.0,2051
DE0 2 ror,ror,16.7,DE0 2,1975,1975.0,2075
DE0 2 ror,ror,11.3,DE0 2,1922,1922.0,2022
DE0 2 ror,ror,19.4,DE0 2,1977,1977.0,2077
