,carrier,p_nom,bus
DE0 1 CCGT,CCGT,507.21088764399997,DE0 1
DE0 2 CCGT,CCGT,3548.46147314,DE0 2
DE0 4 CCGT,CCGT,914.18844198,DE0 4
DE0 7 CCGT,CCGT,326.26201834299997,DE0 7
DE0 8 CCGT,CCGT,230.43592959,DE0 8
DE0 9 CCGT,CCGT,3513.581280519,DE0 9
DE0 A CCGT,CCGT,8368.979646126,DE0 A
DE0 B CCGT,CCGT,2234.472989385,DE0 B
DE0 C CCGT,CCGT,94.44095475,DE0 C
DE0 D CCGT,CCGT,554.1921146003,DE0 D
DE0 E CCGT,CCGT,812.9477384879999,DE0 E
DE0 F CCGT,CCGT,258.13860965,DE0 F
DE0 G CCGT,CCGT,366.55682570299996,DE0 G
DE0 1 OCGT,OCGT,656.175753603,DE0 1
DE0 2 OCGT,OCGT,724.034354401756,DE0 2
DE0 4 OCGT,OCGT,903.233291229,DE0 4
DE0 7 OCGT,OCGT,610.9700165959999,DE0 7
DE0 8 OCGT,OCGT,170.875167461,DE0 8
DE0 9 OCGT,OCGT,805.1154353073999,DE0 9
DE0 A OCGT,OCGT,2728.2103008179997,DE0 A
DE0 B OCGT,OCGT,135.491289748,DE0 B
DE0 C OCGT,OCGT,100.862939673,DE0 C
DE0 D OCGT,OCGT,142.794723582,DE0 D
DE0 E OCGT,OCGT,207.644179177,DE0 E
DE0 F OCGT,OCGT,27.073073695,DE0 F
DE0 G OCGT,OCGT,1133.669220819,DE0 G
