snapshot,DE0 1 onwind,DE0 1 solar,DE0 2 onwind,DE0 2 solar,DE0 4 onwind,DE0 4 solar,DE0 7 onwind,DE0 7 solar,DE0 8 onwind,DE0 8 solar,DE0 9 onwind,DE0 9 solar,DE0 A onwind,DE0 A solar,DE0 B onwind,DE0 B solar,DE0 C onwind,DE0 C solar,DE0 D onwind,DE0 D solar,DE0 E onwind,DE0 E solar,DE0 F onwind,DE0 F solar,DE0 G onwind,DE0 G solar
2013-01-01 00:00:00,0.508,0.0,0.4,0.0,0.591,0.0,0.463,0.0,0.768,0.0,0.857,0.0,0.781,0.0,0.47600000000000003,0.0,0.47900000000000004,0.0,0.616,0.0,0.549,0.0,0.893,0.0,0.594,0.0
2013-01-01 01:00:00,0.509,0.0,0.383,0.0,0.6000000000000001,0.0,0.455,0.0,0.761,0.0,0.8260000000000001,0.0,0.75,0.0,0.497,0.0,0.516,0.0,0.628,0.0,0.552,0.0,0.853,0.0,0.591,0.0
2013-01-01 02:00:00,0.513,0.0,0.374,0.0,0.606,0.0,0.468,0.0,0.754,0.0,0.795,0.0,0.712,0.0,0.54,0.0,0.543,0.0,0.637,0.0,0.545,0.0,0.808,0.0,0.6000000000000001,0.0
2013-01-01 03:00:00,0.511,0.0,0.372,0.0,0.593,0.0,0.492,0.0,0.73,0.0,0.77,0.0,0.677,0.0,0.5730000000000001,0.0,0.5630000000000001,0.0,0.639,0.0,0.533,0.0,0.769,0.0,0.612,0.0
2013-01-01 04:00:00,0.505,0.0,0.387,0.0,0.577,0.0,0.506,0.0,0.707,0.0,0.746,0.0,0.658,0.0,0.599,0.0,0.609,0.0,0.637,0.0,0.536,0.0,0.733,0.0,0.628,0.0
2013-01-01 05:00:00,0.51,0.0,0.41500000000000004,0.0,0.56,0.0,0.512,0.0,0.687,0.0,0.7020000000000001,0.0,0.632,0.0,0.593,0.0,0.606,0.0,0.636,0.0,0.535,0.0,0.673,0.0,0.66,0.0
2013-01-01 06:00:00,0.52,0.0,0.44,0.0,0.549,0.0,0.5740000000000001,0.0,0.667,0.0,0.665,0.0,0.594,0.0,0.5690000000000001,0.0,0.597,0.0,0.637,0.0,0.549,0.0,0.621,0.0,0.672,0.0
2013-01-01 07:00:00,0.523,0.002,0.436,0.004,0.552,0.0,0.666,0.0,0.649,0.0,0.62,0.0,0.539,0.0,0.55,0.0,0.599,0.0,0.64,0.002,0.541,0.0,0.533,0.0,0.666,0.002
2013-01-01 08:00:00,0.537,0.047,0.39,0.03,0.524,0.014,0.61,0.005,0.606,0.01,0.5650000000000001,0.003,0.529,0.001,0.516,0.008,0.5660000000000001,0.002,0.614,0.025,0.512,0.011,0.452,0.001,0.631,0.026000000000000002
2013-01-01 09:00:00,0.496,0.08700000000000001,0.338,0.065,0.502,0.031,0.58,0.019,0.577,0.024,0.517,0.009000000000000001,0.513,0.005,0.486,0.018000000000000002,0.53,0.009000000000000001,0.582,0.046,0.466,0.03,0.34800000000000003,0.009000000000000001,0.594,0.066
2013-01-01 10:00:00,0.493,0.124,0.291,0.11,0.485,0.049,0.538,0.026000000000000002,0.533,0.031,0.463,0.008,0.486,0.01,0.516,0.028,0.513,0.016,0.5690000000000001,0.064,0.426,0.053,0.28500000000000003,0.015,0.607,0.096
2013-01-01 11:00:00,0.5660000000000001,0.152,0.268,0.131,0.466,0.06,0.467,0.032,0.499,0.026000000000000002,0.396,0.008,0.465,0.012,0.502,0.036000000000000004,0.486,0.023,0.56,0.078,0.393,0.063,0.273,0.015,0.613,0.099
2013-01-01 12:00:00,0.609,0.136,0.277,0.13,0.466,0.038,0.436,0.033,0.46,0.016,0.335,0.008,0.468,0.014,0.483,0.027,0.463,0.014,0.553,0.051000000000000004,0.381,0.059000000000000004,0.28500000000000003,0.015,0.594,0.083
2013-01-01 13:00:00,0.5760000000000001,0.075,0.34700000000000003,0.08600000000000001,0.489,0.017,0.422,0.015,0.43,0.005,0.29,0.008,0.432,0.024,0.439,0.014,0.424,0.006,0.555,0.025,0.387,0.032,0.261,0.012,0.556,0.046
2013-01-01 14:00:00,0.513,0.017,0.439,0.028,0.489,0.001,0.417,0.003,0.393,0.0,0.274,0.005,0.373,0.025,0.404,0.008,0.39,0.005,0.562,0.005,0.41000000000000003,0.003,0.272,0.006,0.529,0.006
2013-01-01 15:00:00,0.422,0.0,0.491,0.0,0.486,0.0,0.377,0.0,0.365,0.0,0.335,0.0,0.41000000000000003,0.0,0.374,0.0,0.328,0.0,0.577,0.0,0.423,0.0,0.368,0.0,0.535,0.0
2013-01-01 16:00:00,0.354,0.0,0.45,0.0,0.467,0.0,0.335,0.0,0.34500000000000003,0.0,0.402,0.0,0.439,0.0,0.374,0.0,0.33,0.0,0.5750000000000001,0.0,0.41200000000000003,0.0,0.446,0.0,0.525,0.0
2013-01-01 17:00:00,0.321,0.0,0.41100000000000003,0.0,0.45,0.0,0.342,0.0,0.354,0.0,0.425,0.0,0.391,0.0,0.37,0.0,0.334,0.0,0.5710000000000001,0.0,0.394,0.0,0.44,0.0,0.47400000000000003,0.0
2013-01-01 18:00:00,0.297,0.0,0.381,0.0,0.427,0.0,0.343,0.0,0.364,0.0,0.381,0.0,0.34500000000000003,0.0,0.354,0.0,0.316,0.0,0.559,0.0,0.393,0.0,0.417,0.0,0.446,0.0
2013-01-01 19:00:00,0.276,0.0,0.334,0.0,0.4,0.0,0.324,0.0,0.37,0.0,0.371,0.0,0.33,0.0,0.323,0.0,0.274,0.0,0.5710000000000001,0.0,0.41000000000000003,0.0,0.4,0.0,0.41300000000000003,0.0
2013-01-01 20:00:00,0.272,0.0,0.305,0.0,0.369,0.0,0.293,0.0,0.361,0.0,0.429,0.0,0.38,0.0,0.305,0.0,0.23500000000000001,0.0,0.5690000000000001,0.0,0.429,0.0,0.43,0.0,0.382,0.0
2013-01-01 21:00:00,0.254,0.0,0.293,0.0,0.338,0.0,0.304,0.0,0.35000000000000003,0.0,0.466,0.0,0.422,0.0,0.316,0.0,0.223,0.0,0.495,0.0,0.418,0.0,0.51,0.0,0.34800000000000003,0.0
2013-01-01 22:00:00,0.23800000000000002,0.0,0.314,0.0,0.33,0.0,0.28700000000000003,0.0,0.336,0.0,0.47900000000000004,0.0,0.423,0.0,0.321,0.0,0.203,0.0,0.439,0.0,0.406,0.0,0.52,0.0,0.33,0.0
2013-01-01 23:00:00,0.193,0.0,0.325,0.0,0.32,0.0,0.262,0.0,0.338,0.0,0.486,0.0,0.41600000000000004,0.0,0.32,0.0,0.194,0.0,0.393,0.0,0.37,0.0,0.559,0.0,0.324,0.0
2013-01-02 00:00:00,0.152,0.0,0.304,0.0,0.302,0.0,0.23900000000000002,0.0,0.375,0.0,0.527,0.0,0.41300000000000003,0.0,0.314,0.0,0.191,0.0,0.34700000000000003,0.0,0.375,0.0,0.604,0.0,0.291,0.0
2013-01-02 01:00:00,0.131,0.0,0.279,0.0,0.28700000000000003,0.0,0.259,0.0,0.429,0.0,0.514,0.0,0.383,0.0,0.28500000000000003,0.0,0.186,0.0,0.317,0.0,0.387,0.0,0.597,0.0,0.28200000000000003,0.0
2013-01-02 02:00:00,0.12,0.0,0.254,0.0,0.297,0.0,0.28500000000000003,0.0,0.488,0.0,0.544,0.0,0.374,0.0,0.27,0.0,0.177,0.0,0.303,0.0,0.41600000000000004,0.0,0.659,0.0,0.302,0.0
2013-01-02 03:00:00,0.11900000000000001,0.0,0.23800000000000002,0.0,0.34900000000000003,0.0,0.279,0.0,0.551,0.0,0.598,0.0,0.387,0.0,0.249,0.0,0.164,0.0,0.297,0.0,0.466,0.0,0.628,0.0,0.326,0.0
2013-01-02 04:00:00,0.122,0.0,0.227,0.0,0.42,0.0,0.276,0.0,0.582,0.0,0.584,0.0,0.42,0.0,0.23,0.0,0.148,0.0,0.339,0.0,0.499,0.0,0.629,0.0,0.374,0.0
2013-01-02 05:00:00,0.14200000000000002,0.0,0.227,0.0,0.487,0.0,0.257,0.0,0.616,0.0,0.561,0.0,0.403,0.0,0.215,0.0,0.13,0.0,0.38,0.0,0.546,0.0,0.5720000000000001,0.0,0.389,0.0
2013-01-02 06:00:00,0.159,0.0,0.23800000000000002,0.0,0.583,0.0,0.227,0.0,0.649,0.0,0.518,0.0,0.34900000000000003,0.0,0.20500000000000002,0.0,0.134,0.0,0.422,0.0,0.546,0.0,0.5730000000000001,0.0,0.38,0.0
2013-01-02 07:00:00,0.171,0.004,0.252,0.019,0.586,0.001,0.187,0.0,0.604,0.0,0.52,0.0,0.341,0.0,0.199,0.0,0.151,0.0,0.49,0.017,0.516,0.005,0.525,0.0,0.403,0.005
2013-01-02 08:00:00,0.151,0.06,0.219,0.134,0.558,0.033,0.169,0.018000000000000002,0.558,0.003,0.422,0.039,0.30000000000000004,0.008,0.201,0.024,0.157,0.015,0.549,0.10300000000000001,0.5,0.074,0.47300000000000003,0.036000000000000004,0.41300000000000003,0.067
2013-01-02 09:00:00,0.137,0.157,0.215,0.34900000000000003,0.5650000000000001,0.07200000000000001,0.137,0.047,0.512,0.016,0.342,0.07,0.266,0.039,0.177,0.075,0.148,0.051000000000000004,0.578,0.14400000000000002,0.483,0.165,0.40900000000000003,0.08,0.387,0.15
2013-01-02 10:00:00,0.146,0.379,0.23800000000000002,0.51,0.529,0.09,0.136,0.075,0.516,0.044,0.302,0.073,0.253,0.07,0.166,0.134,0.14100000000000001,0.083,0.531,0.165,0.466,0.27,0.37,0.14200000000000002,0.363,0.209
2013-01-02 11:00:00,0.138,0.43,0.245,0.551,0.506,0.094,0.14200000000000002,0.11800000000000001,0.533,0.074,0.379,0.055,0.262,0.075,0.19,0.154,0.145,0.098,0.486,0.161,0.51,0.368,0.39,0.159,0.379,0.203
2013-01-02 12:00:00,0.127,0.39,0.228,0.459,0.526,0.135,0.134,0.113,0.597,0.064,0.392,0.039,0.272,0.077,0.186,0.127,0.137,0.089,0.502,0.162,0.539,0.361,0.41400000000000003,0.14300000000000002,0.367,0.178
2013-01-02 13:00:00,0.113,0.289,0.20700000000000002,0.324,0.539,0.113,0.133,0.082,0.597,0.031,0.393,0.027,0.279,0.088,0.171,0.098,0.128,0.066,0.506,0.145,0.527,0.233,0.431,0.078,0.332,0.12
