,p_nom,carrier,bus
DE0 0 biomass,487.86361000000005,biomass,DE0 0
DE0 1 biomass,426.006331,biomass,DE0 1
DE0 10 biomass,111.2506,biomass,DE0 10
DE0 11 biomass,618.72415,biomass,DE0 11
DE0 12 biomass,983.507955,biomass,DE0 12
DE0 13 biomass,847.16976,biomass,DE0 13
DE0 14 biomass,457.50616,biomass,DE0 14
DE0 15 biomass,155.7677,biomass,DE0 15
DE0 2 biomass,972.96055,biomass,DE0 2
DE0 3 biomass,221.40027,biomass,DE0 3
DE0 4 biomass,463.0686,biomass,DE0 4
DE0 5 biomass,199.6774,biomass,DE0 5
DE0 6 biomass,248.75672,biomass,DE0 6
DE0 7 biomass,365.5336,biomass,DE0 7
DE0 8 biomass,695.22346,biomass,DE0 8
DE0 9 biomass,696.16946,biomass,DE0 9
