snapshot,DE0 0 onwind,DE0 0 solar,DE0 1 onwind,DE0 1 solar,DE0 10 onwind,DE0 10 solar,DE0 11 onwind,DE0 11 solar,DE0 12 onwind,DE0 12 solar,DE0 13 onwind,DE0 13 solar,DE0 14 onwind,DE0 14 solar,DE0 15 onwind,DE0 15 solar,DE0 2 onwind,DE0 2 solar,DE0 3 onwind,DE0 3 solar,DE0 4 onwind,DE0 4 solar,DE0 5 onwind,DE0 5 solar,DE0 6 onwind,DE0 6 solar,DE0 7 onwind,DE0 7 solar,DE0 8 onwind,DE0 8 solar,DE0 9 onwind,DE0 9 solar
2013-01-01 00:00:00,0.438,0.0,0.775,0.0,0.513,0.0,0.5740000000000001,0.0,0.891,0.0,0.204,0.0,0.74,0.0,0.6940000000000001,0.0,0.871,0.0,0.497,0.0,0.604,0.0,0.233,0.0,0.436,0.0,0.5630000000000001,0.0,0.384,0.0,0.729,0.0
2013-01-01 01:00:00,0.416,0.0,0.746,0.0,0.546,0.0,0.594,0.0,0.848,0.0,0.227,0.0,0.704,0.0,0.674,0.0,0.841,0.0,0.505,0.0,0.615,0.0,0.234,0.0,0.455,0.0,0.5640000000000001,0.0,0.37,0.0,0.6970000000000001,0.0
2013-01-01 02:00:00,0.403,0.0,0.721,0.0,0.581,0.0,0.599,0.0,0.8160000000000001,0.0,0.275,0.0,0.639,0.0,0.658,0.0,0.792,0.0,0.515,0.0,0.62,0.0,0.23800000000000002,0.0,0.483,0.0,0.577,0.0,0.365,0.0,0.7010000000000001,0.0
2013-01-01 03:00:00,0.398,0.0,0.707,0.0,0.606,0.0,0.586,0.0,0.777,0.0,0.311,0.0,0.602,0.0,0.672,0.0,0.75,0.0,0.519,0.0,0.621,0.0,0.253,0.0,0.511,0.0,0.594,0.0,0.365,0.0,0.67,0.0
2013-01-01 04:00:00,0.405,0.0,0.674,0.0,0.644,0.0,0.562,0.0,0.749,0.0,0.326,0.0,0.616,0.0,0.677,0.0,0.719,0.0,0.513,0.0,0.622,0.0,0.276,0.0,0.524,0.0,0.616,0.0,0.376,0.0,0.669,0.0
2013-01-01 05:00:00,0.423,0.0,0.641,0.0,0.631,0.0,0.533,0.0,0.6960000000000001,0.0,0.33,0.0,0.643,0.0,0.664,0.0,0.659,0.0,0.513,0.0,0.628,0.0,0.31,0.0,0.52,0.0,0.653,0.0,0.401,0.0,0.682,0.0
2013-01-01 06:00:00,0.442,0.0,0.594,0.0,0.6000000000000001,0.0,0.516,0.0,0.624,0.0,0.33,0.0,0.662,0.0,0.64,0.0,0.609,0.0,0.516,0.0,0.633,0.0,0.333,0.0,0.524,0.0,0.672,0.0,0.433,0.0,0.648,0.0
2013-01-01 07:00:00,0.448,0.005,0.539,0.0,0.562,0.0,0.562,0.0,0.562,0.0,0.323,0.017,0.626,0.0,0.5720000000000001,0.0,0.537,0.0,0.664,0.0,0.637,0.002,0.34500000000000003,0.003,0.625,0.0,0.666,0.002,0.447,0.002,0.639,0.0
2013-01-01 08:00:00,0.449,0.031,0.531,0.001,0.538,0.002,0.505,0.012,0.516,0.0,0.261,0.077,0.586,0.011,0.532,0.003,0.461,0.0,0.663,0.013,0.612,0.024,0.483,0.04,0.588,0.019,0.627,0.026,0.41600000000000004,0.043,0.628,0.011
2013-01-01 09:00:00,0.409,0.063,0.495,0.006,0.504,0.008,0.476,0.028,0.45,0.003,0.195,0.125,0.544,0.03,0.506,0.011,0.356,0.007,0.62,0.027,0.577,0.046,0.577,0.064,0.539,0.039,0.591,0.059,0.356,0.104,0.634,0.051
