,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 22 ror,ror,146.0,DE0 22,1978.0,1978.0,2078.0
DE0 5 ror,ror,46.7,DE0 5,2010.0,2010.0,2110.0
DE0 31 ror,ror,12.0,DE0 31,1981.0,1981.0,2081.0
DE0 2 ror,ror,14.0,DE0 2,1938.0,1938.0,2038.0
DE0 31 ror,ror,12.2,DE0 31,1980.0,1980.0,2080.0
DE0 26 ror,ror,12.1,DE0 26,1985.0,1985.0,2085.0
DE0 31 ror,ror,10.9,DE0 31,1956.0,1956.0,2056.0
DE0 22 ror,ror,65.0,DE0 22,1918.0,1926.0,2026.0
DE0 21 ror,ror,35.1,DE0 21,1960.0,1960.0,2060.0
DE0 4 ror,ror,23.2,DE0 4,1955.0,1955.0,2055.0
DE0 31 ror,ror,23.3,DE0 31,1992.0,1992.0,2092.0
DE0 11 ror,ror,10.1,DE0 11,1966.0,1966.0,2066.0
DE0 21 ror,ror,25.0,DE0 21,1930.0,1930.0,2030.0
DE0 31 ror,ror,12.4,DE0 31,1983.0,1983.0,2083.0
DE0 26 ror,ror,13.6,DE0 26,1964.0,1964.0,2064.0
DE0 26 ror,ror,20.0,DE0 26,1965.0,1965.0,2065.0
DE0 11 ror,ror,14.2,DE0 11,1924.0,1924.0,2024.0
DE0 4 ror,ror,21.5,DE0 4,1994.0,1994.0,2094.0
DE0 21 ror,ror,24.1,DE0 21,1938.0,1938.0,2038.0
DE0 21 ror,ror,25.0,DE0 21,1938.0,1938.0,2038.0
DE0 26 ror,ror,18.8,DE0 26,1962.0,1962.0,2062.0
DE0 4 ror,ror,85.3,DE0 4,1924.0,1924.0,2024.0
DE0 21 ror,ror,92.0,DE0 21,1960.0,1983.0,2083.0
DE0 10 ror,ror,20.0,DE0 10,1962.0,1962.0,2062.0
DE0 4 ror,ror,53.7,DE0 4,1927.0,1927.0,2027.0
DE0 4 ror,ror,132.059,DE0 4,1955.0,1955.0,2055.0
DE0 31 ror,ror,19.8,DE0 31,1971.0,1971.0,2071.0
DE0 4 ror,ror,12.6,DE0 4,1984.0,1984.0,2084.0
DE0 10 ror,ror,16.0,DE0 10,1951.0,1951.0,2051.0
DE0 31 ror,ror,16.7,DE0 31,1975.0,1975.0,2075.0
DE0 31 ror,ror,11.3,DE0 31,1922.0,1922.0,2022.0
DE0 21 ror,ror,19.4,DE0 21,1977.0,1977.0,2077.0
DE0 4 ror,ror,86.4,DE0 4,1965.0,1965.0,2065.0
DE0 31 ror,ror,12.1,DE0 31,1984.0,1984.0,2084.0
DE0 11 ror,ror,19.2,DE0 11,1971.0,1971.0,2071.0
DE0 17 ror,ror,12.6,DE0 17,1994.0,1994.0,2094.0
