,bus,carrier,p_nom,year_removed
DE0 11 biomass,DE0 11,biomass,1.088,2049
DE0 12 biomass,DE0 12,biomass,0.795,2049
DE0 13 biomass,DE0 13,biomass,0.41900000000000004,2049
DE0 14 biomass,DE0 14,biomass,1.65,2049
DE0 21 biomass,DE0 21,biomass,0.8235,2049
DE0 22 biomass,DE0 22,biomass,0.14500000000000002,2049
DE0 23 biomass,DE0 23,biomass,0.32999999999999996,2049
DE0 24 biomass,DE0 24,biomass,0.912,2049
DE0 25 biomass,DE0 25,biomass,0.22499999999999998,2049
DE0 27 biomass,DE0 27,biomass,0.649,2049
DE0 30 biomass,DE0 30,biomass,0.126,2049
DE0 40 biomass,DE0 40,biomass,0.47500000000000003,2049
DE0 71 biomass,DE0 71,biomass,1.2489999999999999,2049
DE0 80 biomass,DE0 80,biomass,0.799,2049
DE0 91 biomass,DE0 91,biomass,0.075,2049
DE0 92 biomass,DE0 92,biomass,0.075,2049
DE0 93 biomass,DE0 93,biomass,0.719,2049
DE0 94 biomass,DE0 94,biomass,3.364,2049
DE0 A1 biomass,DE0 A1,biomass,0.585,2049
DE0 A2 biomass,DE0 A2,biomass,0.075,2049
DE0 A3 biomass,DE0 A3,biomass,1.834,2049
DE0 A4 biomass,DE0 A4,biomass,0.174,2049
DE0 A5 biomass,DE0 A5,biomass,1.635,2049
DE0 B1 biomass,DE0 B1,biomass,0.075,2049
DE0 B2 biomass,DE0 B2,biomass,0.075,2049
DE0 D2 biomass,DE0 D2,biomass,0.075,2049
DE0 D4 biomass,DE0 D4,biomass,0.08399999999999999,2049
DE0 E0 biomass,DE0 E0,biomass,0.188,2049
DE0 F0 biomass,DE0 F0,biomass,0.6749999999999999,2049
DE0 G0 biomass,DE0 G0,biomass,0.075,2049
DE0 11 biomass,DE0 11,biomass,1.9825,2048
DE0 12 biomass,DE0 12,biomass,0.51,2048
DE0 13 biomass,DE0 13,biomass,8.625,2048
DE0 14 biomass,DE0 14,biomass,3.196,2048
DE0 21 biomass,DE0 21,biomass,3.311,2048
DE0 22 biomass,DE0 22,biomass,0.593,2048
DE0 23 biomass,DE0 23,biomass,0.8604999999999999,2048
DE0 24 biomass,DE0 24,biomass,0.94,2048
DE0 25 biomass,DE0 25,biomass,1.448,2048
DE0 26 biomass,DE0 26,biomass,0.48,2048
DE0 27 biomass,DE0 27,biomass,1.753,2048
DE0 30 biomass,DE0 30,biomass,0.23900000000000002,2048
DE0 40 biomass,DE0 40,biomass,0.3152,2048
DE0 60 biomass,DE0 60,biomass,0.07200000000000001,2048
DE0 71 biomass,DE0 71,biomass,0.371,2048
DE0 73 biomass,DE0 73,biomass,0.439,2048
DE0 80 biomass,DE0 80,biomass,1.848,2048
DE0 91 biomass,DE0 91,biomass,0.45749999999999996,2048
DE0 92 biomass,DE0 92,biomass,0.46499999999999997,2048
DE0 93 biomass,DE0 93,biomass,0.3,2048
DE0 94 biomass,DE0 94,biomass,3.098,2048
DE0 A1 biomass,DE0 A1,biomass,0.104,2048
DE0 A2 biomass,DE0 A2,biomass,0.345,2048
DE0 A3 biomass,DE0 A3,biomass,0.7,2048
DE0 A4 biomass,DE0 A4,biomass,7.48,2048
DE0 A5 biomass,DE0 A5,biomass,3.471,2048
DE0 B2 biomass,DE0 B2,biomass,0.192,2048
DE0 D2 biomass,DE0 D2,biomass,0.405,2048
DE0 D4 biomass,DE0 D4,biomass,0.15,2048
DE0 D5 biomass,DE0 D5,biomass,0.15,2048
DE0 E0 biomass,DE0 E0,biomass,2.91,2048
DE0 F0 biomass,DE0 F0,biomass,3.561,2048
DE0 G0 biomass,DE0 G0,biomass,0.15,2048
DE0 11 biomass,DE0 11,biomass,0.5389999999999999,2047
DE0 12 biomass,DE0 12,biomass,0.31529999999999997,2047
DE0 14 biomass,DE0 14,biomass,0.965,2047
DE0 21 biomass,DE0 21,biomass,1.1263,2047
DE0 22 biomass,DE0 22,biomass,0.22499999999999998,2047
DE0 23 biomass,DE0 23,biomass,0.64,2047
DE0 24 biomass,DE0 24,biomass,0.44999999999999996,2047
DE0 25 biomass,DE0 25,biomass,0.39499999999999996,2047
DE0 27 biomass,DE0 27,biomass,0.85,2047
DE0 40 biomass,DE0 40,biomass,0.775,2047
DE0 71 biomass,DE0 71,biomass,0.40499999999999997,2047
DE0 72 biomass,DE0 72,biomass,0.075,2047
DE0 73 biomass,DE0 73,biomass,0.155,2047
DE0 80 biomass,DE0 80,biomass,0.525,2047
DE0 91 biomass,DE0 91,biomass,0.61,2047
DE0 92 biomass,DE0 92,biomass,0.3055,2047
DE0 93 biomass,DE0 93,biomass,1.35,2047
DE0 94 biomass,DE0 94,biomass,0.767,2047
DE0 A1 biomass,DE0 A1,biomass,0.075,2047
DE0 A2 biomass,DE0 A2,biomass,0.7,2047
DE0 A3 biomass,DE0 A3,biomass,0.375,2047
DE0 A4 biomass,DE0 A4,biomass,0.557,2047
DE0 A5 biomass,DE0 A5,biomass,0.8400000000000001,2047
DE0 B1 biomass,DE0 B1,biomass,0.15,2047
DE0 B2 biomass,DE0 B2,biomass,0.15,2047
DE0 D2 biomass,DE0 D2,biomass,0.882,2047
DE0 D4 biomass,DE0 D4,biomass,0.15,2047
DE0 E0 biomass,DE0 E0,biomass,0.22499999999999998,2047
DE0 F0 biomass,DE0 F0,biomass,1.6809999999999998,2047
DE0 G0 biomass,DE0 G0,biomass,0.325,2047
DE0 11 biomass,DE0 11,biomass,1.048,2046
DE0 12 biomass,DE0 12,biomass,0.3,2046
DE0 13 biomass,DE0 13,biomass,0.22499999999999998,2046
DE0 14 biomass,DE0 14,biomass,0.6749999999999999,2046
DE0 21 biomass,DE0 21,biomass,1.3008,2046
DE0 22 biomass,DE0 22,biomass,0.2036,2046
DE0 23 biomass,DE0 23,biomass,0.63,2046
DE0 24 biomass,DE0 24,biomass,0.375,2046
DE0 25 biomass,DE0 25,biomass,0.75,2046
DE0 26 biomass,DE0 26,biomass,0.22499999999999998,2046
DE0 27 biomass,DE0 27,biomass,1.05,2046
DE0 30 biomass,DE0 30,biomass,0.169,2046
DE0 40 biomass,DE0 40,biomass,2.328,2046
DE0 60 biomass,DE0 60,biomass,0.022,2046
DE0 71 biomass,DE0 71,biomass,1.73,2046
DE0 72 biomass,DE0 72,biomass,0.3,2046
DE0 73 biomass,DE0 73,biomass,0.22499999999999998,2046
DE0 80 biomass,DE0 80,biomass,0.6599999999999999,2046
DE0 92 biomass,DE0 92,biomass,0.7050000000000001,2046
DE0 93 biomass,DE0 93,biomass,6.311,2046
DE0 94 biomass,DE0 94,biomass,1.775,2046
DE0 A1 biomass,DE0 A1,biomass,0.505,2046
DE0 A2 biomass,DE0 A2,biomass,0.44600000000000006,2046
DE0 A3 biomass,DE0 A3,biomass,0.597,2046
DE0 A4 biomass,DE0 A4,biomass,0.23099999999999998,2046
DE0 A5 biomass,DE0 A5,biomass,0.075,2046
DE0 B1 biomass,DE0 B1,biomass,0.22499999999999998,2046
DE0 B2 biomass,DE0 B2,biomass,0.075,2046
DE0 C0 biomass,DE0 C0,biomass,0.22499999999999998,2046
DE0 D2 biomass,DE0 D2,biomass,0.15,2046
DE0 D4 biomass,DE0 D4,biomass,0.731,2046
DE0 D5 biomass,DE0 D5,biomass,0.96,2046
DE0 E0 biomass,DE0 E0,biomass,0.745,2046
DE0 F0 biomass,DE0 F0,biomass,0.61,2046
DE0 G0 biomass,DE0 G0,biomass,0.195,2046
DE0 11 biomass,DE0 11,biomass,0.15,2045
DE0 12 biomass,DE0 12,biomass,0.3078,2045
DE0 13 biomass,DE0 13,biomass,1.9071999999999998,2045
DE0 14 biomass,DE0 14,biomass,0.577,2045
DE0 21 biomass,DE0 21,biomass,0.7297,2045
DE0 22 biomass,DE0 22,biomass,0.243,2045
DE0 23 biomass,DE0 23,biomass,0.485,2045
DE0 24 biomass,DE0 24,biomass,0.105,2045
DE0 25 biomass,DE0 25,biomass,0.075,2045
DE0 26 biomass,DE0 26,biomass,0.15,2045
DE0 27 biomass,DE0 27,biomass,0.411,2045
DE0 30 biomass,DE0 30,biomass,0.022,2045
DE0 40 biomass,DE0 40,biomass,1.3744,2045
DE0 71 biomass,DE0 71,biomass,0.175,2045
DE0 72 biomass,DE0 72,biomass,0.21200000000000002,2045
DE0 73 biomass,DE0 73,biomass,1.7500000000000002,2045
DE0 80 biomass,DE0 80,biomass,0.375,2045
DE0 91 biomass,DE0 91,biomass,0.075,2045
DE0 92 biomass,DE0 92,biomass,0.5,2045
DE0 93 biomass,DE0 93,biomass,0.73,2045
DE0 94 biomass,DE0 94,biomass,0.5086999999999999,2045
DE0 A1 biomass,DE0 A1,biomass,0.2985,2045
DE0 A2 biomass,DE0 A2,biomass,0.3555,2045
DE0 A3 biomass,DE0 A3,biomass,0.22499999999999998,2045
DE0 A4 biomass,DE0 A4,biomass,0.075,2045
DE0 A5 biomass,DE0 A5,biomass,0.22899999999999998,2045
DE0 B1 biomass,DE0 B1,biomass,0.075,2045
DE0 B2 biomass,DE0 B2,biomass,0.48,2045
DE0 B3 biomass,DE0 B3,biomass,0.25,2045
DE0 D2 biomass,DE0 D2,biomass,0.359,2045
DE0 D4 biomass,DE0 D4,biomass,0.075,2045
DE0 D5 biomass,DE0 D5,biomass,0.526,2045
DE0 E0 biomass,DE0 E0,biomass,0.27605999999999997,2045
DE0 F0 biomass,DE0 F0,biomass,0.446,2045
DE0 G0 biomass,DE0 G0,biomass,0.55,2045
DE0 11 biomass,DE0 11,biomass,7.24,2044
DE0 12 biomass,DE0 12,biomass,2.605,2044
DE0 13 biomass,DE0 13,biomass,2.7125,2044
DE0 14 biomass,DE0 14,biomass,1.9545000000000001,2044
DE0 21 biomass,DE0 21,biomass,12.619200000000001,2044
DE0 22 biomass,DE0 22,biomass,5.278,2044
DE0 23 biomass,DE0 23,biomass,2.3338,2044
DE0 24 biomass,DE0 24,biomass,4.415,2044
DE0 25 biomass,DE0 25,biomass,2.9645,2044
DE0 26 biomass,DE0 26,biomass,0.443,2044
DE0 27 biomass,DE0 27,biomass,5.2424,2044
DE0 30 biomass,DE0 30,biomass,9.072000000000001,2044
DE0 40 biomass,DE0 40,biomass,19.9159,2044
DE0 60 biomass,DE0 60,biomass,2.6924,2044
DE0 71 biomass,DE0 71,biomass,7.077,2044
DE0 72 biomass,DE0 72,biomass,0.547,2044
DE0 73 biomass,DE0 73,biomass,10.5915,2044
DE0 80 biomass,DE0 80,biomass,12.839,2044
DE0 91 biomass,DE0 91,biomass,4.352,2044
DE0 92 biomass,DE0 92,biomass,2.615,2044
DE0 93 biomass,DE0 93,biomass,5.1085400000000005,2044
DE0 94 biomass,DE0 94,biomass,21.7235,2044
DE0 A1 biomass,DE0 A1,biomass,10.107000000000001,2044
DE0 A2 biomass,DE0 A2,biomass,4.17652,2044
DE0 A3 biomass,DE0 A3,biomass,3.662,2044
DE0 A4 biomass,DE0 A4,biomass,4.6049999999999995,2044
DE0 A5 biomass,DE0 A5,biomass,3.7510000000000003,2044
DE0 B1 biomass,DE0 B1,biomass,0.045,2044
DE0 B2 biomass,DE0 B2,biomass,0.33999999999999997,2044
DE0 B3 biomass,DE0 B3,biomass,2.2520000000000002,2044
DE0 C0 biomass,DE0 C0,biomass,0.6,2044
DE0 D2 biomass,DE0 D2,biomass,3.4359,2044
DE0 D4 biomass,DE0 D4,biomass,6.444,2044
DE0 D5 biomass,DE0 D5,biomass,6.475,2044
DE0 E0 biomass,DE0 E0,biomass,19.444,2044
DE0 F0 biomass,DE0 F0,biomass,8.89,2044
DE0 G0 biomass,DE0 G0,biomass,3.907,2044
DE0 11 biomass,DE0 11,biomass,15.325000000000001,2043
DE0 12 biomass,DE0 12,biomass,5.9675,2043
DE0 13 biomass,DE0 13,biomass,5.394,2043
DE0 14 biomass,DE0 14,biomass,2.798,2043
DE0 21 biomass,DE0 21,biomass,9.0344,2043
DE0 22 biomass,DE0 22,biomass,1.1532,2043
DE0 23 biomass,DE0 23,biomass,3.2089999999999996,2043
DE0 24 biomass,DE0 24,biomass,3.784,2043
DE0 25 biomass,DE0 25,biomass,4.277,2043
DE0 26 biomass,DE0 26,biomass,4.277,2043
DE0 27 biomass,DE0 27,biomass,5.0892,2043
DE0 30 biomass,DE0 30,biomass,3.0377,2043
DE0 40 biomass,DE0 40,biomass,20.662,2043
DE0 60 biomass,DE0 60,biomass,7.298,2043
DE0 71 biomass,DE0 71,biomass,11.37,2043
DE0 72 biomass,DE0 72,biomass,1.36,2043
