,carrier,p_nom,year_removed,retrofit,bus
DE0 12 ror,ror,146.0,2078,1978.0,DE0 12
DE0 13 ror,ror,46.7,2110,2010.0,DE0 13
DE0 21 ror,ror,12.0,2081,1981.0,DE0 21
DE0 A2 ror,ror,14.0,2038,1938.0,DE0 A2
DE0 21 ror,ror,12.2,2080,1980.0,DE0 21
DE0 C0 ror,ror,12.1,2085,1985.0,DE0 C0
DE0 27 ror,ror,10.9,2056,1956.0,DE0 27
DE0 12 ror,ror,65.0,2026,1926.0,DE0 12
DE0 21 ror,ror,35.1,2060,1960.0,DE0 21
DE0 22 ror,ror,23.2,2055,1955.0,DE0 22
DE0 21 ror,ror,23.3,2092,1992.0,DE0 21
DE0 21 ror,ror,10.1,2066,1966.0,DE0 21
DE0 21 ror,ror,25.0,2030,1930.0,DE0 21
DE0 27 ror,ror,12.4,2083,1983.0,DE0 27
DE0 B2 ror,ror,13.6,2064,1964.0,DE0 B2
DE0 B2 ror,ror,20.0,2065,1965.0,DE0 B2
DE0 14 ror,ror,14.2,2024,1924.0,DE0 14
DE0 22 ror,ror,21.5,2094,1994.0,DE0 22
DE0 21 ror,ror,24.1,2038,1938.0,DE0 21
DE0 21 ror,ror,25.0,2038,1938.0,DE0 21
DE0 B2 ror,ror,18.8,2062,1962.0,DE0 B2
DE0 21 ror,ror,85.3,2024,1924.0,DE0 21
DE0 21 ror,ror,92.0,2083,1983.0,DE0 21
DE0 B1 ror,ror,20.0,2062,1962.0,DE0 B1
DE0 22 ror,ror,53.7,2027,1927.0,DE0 22
DE0 22 ror,ror,132.059,2055,1955.0,DE0 22
DE0 21 ror,ror,19.8,2071,1971.0,DE0 21
DE0 22 ror,ror,12.6,2084,1984.0,DE0 22
DE0 B1 ror,ror,16.0,2051,1951.0,DE0 B1
DE0 21 ror,ror,16.7,2075,1975.0,DE0 21
DE0 27 ror,ror,11.3,2022,1922.0,DE0 27
DE0 21 ror,ror,19.4,2077,1977.0,DE0 21
DE0 22 ror,ror,86.4,2065,1965.0,DE0 22
DE0 21 ror,ror,12.1,2084,1984.0,DE0 21
DE0 21 ror,ror,19.2,2071,1971.0,DE0 21
DE0 26 ror,ror,12.6,2094,1994.0,DE0 26
DE0 21 ror,ror,22.3,2029,1929.0,DE0 21
DE0 91 ror,ror,16.4,2065,1965.0,DE0 91
DE0 27 ror,ror,12.0,2078,1978.0,DE0 27
DE0 27 ror,ror,11.9,2054,1954.0,DE0 27
DE0 21 ror,ror,11.2,2024,1924.0,DE0 21
DE0 21 ror,ror,12.8,2055,1955.0,DE0 21
DE0 22 ror,ror,16.2,2051,1951.0,DE0 22
DE0 B1 ror,ror,16.4,2066,1966.0,DE0 B1
DE0 14 ror,ror,50.0,2053,1953.0,DE0 14
DE0 21 ror,ror,10.3,2067,1967.0,DE0 21
DE0 22 ror,ror,12.6,2088,1988.0,DE0 22
DE0 27 ror,ror,10.1,2065,1965.0,DE0 27
DE0 B1 ror,ror,16.4,2063,1963.0,DE0 B1
DE0 21 ror,ror,38.2,2070,1970.0,DE0 21
DE0 14 ror,ror,11.0,2027,1927.0,DE0 14
DE0 B2 ror,ror,24.0,2062,1962.0,DE0 B2
DE0 22 ror,ror,15.0,2057,1957.0,DE0 22
DE0 21 ror,ror,16.6,2060,1960.0,DE0 21
DE0 21 ror,ror,26.0,2025,1925.0,DE0 21
DE0 27 ror,ror,9.7,2052,1952.0,DE0 27
DE0 B2 ror,ror,18.4,2066,1966.0,DE0 B2
DE0 21 ror,ror,23.7,2070,1970.0,DE0 21
DE0 21 ror,ror,18.9,2068,1968.0,DE0 21
DE0 A5 ror,ror,15.0,2065,1965.0,DE0 A5
DE0 21 ror,ror,20.2,2069,1969.0,DE0 21
DE0 13 ror,ror,80.62,2034,1934.0,DE0 13
DE0 D2 ror,ror,17.8,2051,1951.0,DE0 D2
DE0 21 ror,ror,45.0,2022,1922.0,DE0 21
DE0 21 ror,ror,27.0,2024,1924.0,DE0 21
DE0 27 ror,ror,10.0,2082,1982.0,DE0 27
DE0 22 ror,ror,14.8,2057,1957.0,DE0 22
DE0 21 ror,ror,25.0,2038,1938.0,DE0 21
DE0 23 ror,ror,25.0,2085,1985.0,DE0 23
DE0 14 ror,ror,0.132,2057,1957.0,DE0 14
DE0 73 ror,ror,0.099,2057,1957.0,DE0 73
DE0 G0 ror,ror,0.5,2057,1957.0,DE0 G0
DE0 D4 ror,ror,0.413,2057,1957.0,DE0 D4
DE0 27 ror,ror,2.6,2057,1957.0,DE0 27
DE0 23 ror,ror,0.145,2057,1957.0,DE0 23
DE0 27 ror,ror,0.24,2057,1957.0,DE0 27
DE0 A5 ror,ror,5.4,2057,1957.0,DE0 A5
DE0 D4 ror,ror,0.18,2057,1957.0,DE0 D4
DE0 12 ror,ror,0.09,2057,1957.0,DE0 12
DE0 13 ror,ror,0.82,2057,1957.0,DE0 13
DE0 12 ror,ror,0.08,2057,1957.0,DE0 12
DE0 21 ror,ror,0.075,2057,1957.0,DE0 21
DE0 12 ror,ror,22.0,2057,1957.0,DE0 12
DE0 25 ror,ror,2.4,2057,1957.0,DE0 25
DE0 D4 ror,ror,1.785,2057,1957.0,DE0 D4
DE0 A5 ror,ror,0.16,2057,1957.0,DE0 A5
DE0 27 ror,ror,1.1,2057,1957.0,DE0 27
DE0 91 ror,ror,4.515,2057,1957.0,DE0 91
DE0 72 ror,ror,0.511,2057,1957.0,DE0 72
DE0 23 ror,ror,0.0375,2057,1957.0,DE0 23
DE0 91 ror,ror,4.86,2057,1957.0,DE0 91
DE0 A2 ror,ror,1.45,2057,1957.0,DE0 A2
DE0 A2 ror,ror,0.225,2057,1957.0,DE0 A2
DE0 13 ror,ror,0.8,2057,1957.0,DE0 13
DE0 21 ror,ror,0.148,2057,1957.0,DE0 21
DE0 11 ror,ror,0.084,2057,1957.0,DE0 11
DE0 11 ror,ror,0.6,2057,1957.0,DE0 11
DE0 91 ror,ror,0.1,2057,1957.0,DE0 91
DE0 25 ror,ror,0.66,2057,1957.0,DE0 25
DE0 12 ror,ror,0.3,2057,1957.0,DE0 12
DE0 A2 ror,ror,0.4,2057,1957.0,DE0 A2
DE0 A5 ror,ror,0.352,2057,1957.0,DE0 A5
DE0 13 ror,ror,0.97,2057,1957.0,DE0 13
DE0 21 ror,ror,0.18,2057,1957.0,DE0 21
DE0 27 ror,ror,0.55,2057,1957.0,DE0 27
DE0 27 ror,ror,0.35,2057,1957.0,DE0 27
DE0 A5 ror,ror,1.504,2057,1957.0,DE0 A5
DE0 D4 ror,ror,0.505,2057,1957.0,DE0 D4
DE0 13 ror,ror,1.0,2057,1957.0,DE0 13
DE0 11 ror,ror,0.19,2057,1957.0,DE0 11
DE0 G0 ror,ror,0.88,2057,1957.0,DE0 G0
DE0 22 ror,ror,36.5,2042,1942.0,DE0 22
DE0 21 ror,ror,36.6,2082,1982.0,DE0 21
DE0 13 ror,ror,19.0,2042,1942.0,DE0 13
DE0 21 ror,ror,10.5,2059,1959.0,DE0 21
DE0 93 ror,ror,29.9,2111,2011.0,DE0 93
DE0 23 ror,ror,130.3,2058,1958.0,DE0 23
DE0 21 ror,ror,0.5,2057,1957.0,DE0 21
DE0 27 ror,ror,6.05,2057,1957.0,DE0 27
DE0 13 ror,ror,0.13,2057,1957.0,DE0 13
DE0 D4 ror,ror,0.6459999999999999,2057,1957.0,DE0 D4
DE0 91 ror,ror,0.75,2057,1957.0,DE0 91
DE0 21 ror,ror,1.79,2057,1957.0,DE0 21
DE0 D4 ror,ror,0.6,2057,1957.0,DE0 D4
DE0 B1 ror,ror,0.037,2057,1957.0,DE0 B1
DE0 11 ror,ror,0.055,2057,1957.0,DE0 11
DE0 D4 ror,ror,1.05,2057,1957.0,DE0 D4
DE0 12 ror,ror,0.5,2057,1957.0,DE0 12
DE0 27 ror,ror,1.08,2057,1957.0,DE0 27
DE0 23 ror,ror,0.672,2057,1957.0,DE0 23
DE0 D4 ror,ror,0.88,2057,1957.0,DE0 D4
DE0 A5 ror,ror,0.6,2057,1957.0,DE0 A5
DE0 12 ror,ror,0.044,2057,1957.0,DE0 12
DE0 B2 ror,ror,0.42,2057,1957.0,DE0 B2
DE0 27 ror,ror,2.6,2057,1957.0,DE0 27
DE0 11 ror,ror,0.15,2057,1957.0,DE0 11
DE0 27 ror,ror,0.28,2057,1957.0,DE0 27
DE0 B1 ror,ror,1.7280000000000002,2057,1957.0,DE0 B1
DE0 27 ror,ror,0.285,2057,1957.0,DE0 27
DE0 D4 ror,ror,0.56,2057,1957.0,DE0 D4
DE0 14 ror,ror,0.992,2057,1957.0,DE0 14
DE0 A5 ror,ror,0.8,2057,1957.0,DE0 A5
DE0 27 ror,ror,0.55,2057,1957.0,DE0 27
DE0 24 ror,ror,0.12,2057,1957.0,DE0 24
DE0 13 ror,ror,0.465,2057,1957.0,DE0 13
DE0 11 ror,ror,0.08,2057,1957.0,DE0 11
DE0 27 ror,ror,2.5,2057,1957.0,DE0 27
DE0 12 ror,ror,0.064,2057,1957.0,DE0 12
DE0 13 ror,ror,1.152,2057,1957.0,DE0 13
DE0 12 ror,ror,0.107,2057,1957.0,DE0 12
DE0 23 ror,ror,0.132,2057,1957.0,DE0 23
DE0 27 ror,ror,1.155,2057,1957.0,DE0 27
DE0 14 ror,ror,0.16,2057,1957.0,DE0 14
DE0 B1 ror,ror,1.7280000000000002,2057,1957.0,DE0 B1
DE0 11 ror,ror,0.452,2057,1957.0,DE0 11
DE0 27 ror,ror,4.42,2057,1957.0,DE0 27
DE0 11 ror,ror,0.35,2057,1957.0,DE0 11
DE0 11 ror,ror,0.13,2057,1957.0,DE0 11
DE0 27 ror,ror,0.72,2057,1957.0,DE0 27
DE0 27 ror,ror,0.205,2057,1957.0,DE0 27
DE0 B1 ror,ror,0.8,2057,1957.0,DE0 B1
DE0 23 ror,ror,0.39,2057,1957.0,DE0 23
DE0 91 ror,ror,0.43,2057,1957.0,DE0 91
DE0 B2 ror,ror,0.06,2057,1957.0,DE0 B2
DE0 G0 ror,ror,0.42,2057,1957.0,DE0 G0
DE0 13 ror,ror,0.2,2057,1957.0,DE0 13
DE0 A5 ror,ror,0.11,2057,1957.0,DE0 A5
DE0 23 ror,ror,0.05,2057,1957.0,DE0 23
DE0 D4 ror,ror,0.72,2057,1957.0,DE0 D4
DE0 A5 ror,ror,1.4,2057,1957.0,DE0 A5
DE0 27 ror,ror,0.196,2057,1957.0,DE0 27
DE0 23 ror,ror,0.09,2057,1957.0,DE0 23
DE0 27 ror,ror,2.4,2057,1957.0,DE0 27
DE0 22 ror,ror,3.35,2057,1957.0,DE0 22
DE0 13 ror,ror,0.279,2057,1957.0,DE0 13
DE0 11 ror,ror,3.05,2057,1957.0,DE0 11
DE0 21 ror,ror,26.1,2051,1951.0,DE0 21
DE0 13 ror,ror,30.0,2084,1984.0,DE0 13
DE0 22 ror,ror,18.0,2051,1951.0,DE0 22
DE0 B3 ror,ror,0.12,2057,1957.0,DE0 B3
DE0 E0 ror,ror,0.032,2057,1957.0,DE0 E0
DE0 24 ror,ror,0.08,2057,1957.0,DE0 24
DE0 11 ror,ror,0.1195,2057,1957.0,DE0 11
DE0 23 ror,ror,0.108,2057,1957.0,DE0 23
DE0 12 ror,ror,0.09,2057,1957.0,DE0 12
DE0 12 ror,ror,0.075,2057,1957.0,DE0 12
DE0 13 ror,ror,0.037,2057,1957.0,DE0 13
DE0 22 ror,ror,0.04636,2057,1957.0,DE0 22
DE0 21 ror,ror,0.06,2057,1957.0,DE0 21
DE0 22 ror,ror,0.04864,2057,1957.0,DE0 22
DE0 27 ror,ror,0.145,2057,1957.0,DE0 27
DE0 13 ror,ror,0.4,2057,1957.0,DE0 13
DE0 13 ror,ror,0.036,2057,1957.0,DE0 13
DE0 11 ror,ror,0.25,2057,1957.0,DE0 11
DE0 A1 ror,ror,0.075,2057,1957.0,DE0 A1
DE0 73 ror,ror,0.037,2057,1957.0,DE0 73
DE0 13 ror,ror,0.063,2057,1957.0,DE0 13
DE0 27 ror,ror,0.068,2057,1957.0,DE0 27
DE0 22 ror,ror,0.1,2057,1957.0,DE0 22
DE0 22 ror,ror,1.402,2057,1957.0,DE0 22
DE0 13 ror,ror,0.63,2057,1957.0,DE0 13
DE0 27 ror,ror,0.4350000000000001,2057,1957.0,DE0 27
DE0 26 ror,ror,0.2,2057,1957.0,DE0 26
DE0 21 ror,ror,0.061,2057,1957.0,DE0 21
DE0 D4 ror,ror,0.35,2057,1957.0,DE0 D4
DE0 21 ror,ror,0.39,2057,1957.0,DE0 21
DE0 25 ror,ror,0.355,2057,1957.0,DE0 25
DE0 D2 ror,ror,0.45,2057,1957.0,DE0 D2
DE0 D4 ror,ror,0.04854,2057,1957.0,DE0 D4
DE0 27 ror,ror,0.05,2057,1957.0,DE0 27
DE0 21 ror,ror,0.075,2057,1957.0,DE0 21
DE0 12 ror,ror,0.055,2057,1957.0,DE0 12
DE0 D4 ror,ror,0.6459999999999999,2057,1957.0,DE0 D4
DE0 11 ror,ror,0.075,2057,1957.0,DE0 11
DE0 A5 ror,ror,59.99999999999999,2057,1957.0,DE0 A5
DE0 12 ror,ror,0.212,2057,1957.0,DE0 12
DE0 13 ror,ror,0.035,2057,1957.0,DE0 13
DE0 22 ror,ror,0.165,2057,1957.0,DE0 22
DE0 80 ror,ror,0.17,2057,1957.0,DE0 80
DE0 A5 ror,ror,1.04,2057,1957.0,DE0 A5
DE0 A5 ror,ror,5.8500000000000005,2057,1957.0,DE0 A5
DE0 E0 ror,ror,0.22,2057,1957.0,DE0 E0
DE0 73 ror,ror,0.16,2057,1957.0,DE0 73
DE0 D4 ror,ror,0.53,2057,1957.0,DE0 D4
DE0 D4 ror,ror,0.516,2057,1957.0,DE0 D4
DE0 A4 ror,ror,0.09,2057,1957.0,DE0 A4
DE0 22 ror,ror,0.05,2057,1957.0,DE0 22
DE0 23 ror,ror,0.105,2057,1957.0,DE0 23
DE0 24 ror,ror,0.286,2057,1957.0,DE0 24
DE0 27 ror,ror,0.4,2057,1957.0,DE0 27
DE0 12 ror,ror,0.032,2057,1957.0,DE0 12
DE0 11 ror,ror,0.085,2057,1957.0,DE0 11
DE0 A5 ror,ror,0.33,2057,1957.0,DE0 A5
DE0 A2 ror,ror,0.24,2057,1957.0,DE0 A2
DE0 A1 ror,ror,0.06,2057,1957.0,DE0 A1
DE0 A5 ror,ror,0.075,2057,1957.0,DE0 A5
DE0 14 ror,ror,0.055,2057,1957.0,DE0 14
DE0 G0 ror,ror,0.11,2057,1957.0,DE0 G0
DE0 23 ror,ror,0.108,2057,1957.0,DE0 23
DE0 23 ror,ror,0.0575,2057,1957.0,DE0 23
DE0 G0 ror,ror,1.6,2057,1957.0,DE0 G0
DE0 G0 ror,ror,0.3,2057,1957.0,DE0 G0
DE0 B2 ror,ror,0.05,2057,1957.0,DE0 B2
DE0 G0 ror,ror,0.055,2057,1957.0,DE0 G0
DE0 11 ror,ror,0.25,2057,1957.0,DE0 11
DE0 71 ror,ror,0.036,2057,1957.0,DE0 71
DE0 91 ror,ror,0.224,2057,1957.0,DE0 91
DE0 92 ror,ror,0.24,2057,1957.0,DE0 92
DE0 21 ror,ror,0.39,2057,1957.0,DE0 21
DE0 27 ror,ror,0.075,2057,1957.0,DE0 27
DE0 D4 ror,ror,0.1,2057,1957.0,DE0 D4
DE0 21 ror,ror,0.05,2057,1957.0,DE0 21
DE0 73 ror,ror,0.35,2057,1957.0,DE0 73
DE0 71 ror,ror,0.105,2057,1957.0,DE0 71
DE0 21 ror,ror,0.075,2057,1957.0,DE0 21
DE0 14 ror,ror,0.32,2057,1957.0,DE0 14
DE0 26 ror,ror,0.08,2057,1957.0,DE0 26
DE0 25 ror,ror,0.145,2057,1957.0,DE0 25
DE0 24 ror,ror,0.095,2057,1957.0,DE0 24
DE0 22 ror,ror,0.1,2057,1957.0,DE0 22
DE0 A2 ror,ror,0.48,2057,1957.0,DE0 A2
DE0 E0 ror,ror,0.18,2057,1957.0,DE0 E0
DE0 13 ror,ror,0.072,2057,1957.0,DE0 13
DE0 13 ror,ror,0.08,2057,1957.0,DE0 13
DE0 25 ror,ror,0.0485,2057,1957.0,DE0 25
DE0 12 ror,ror,0.18,2057,1957.0,DE0 12
DE0 27 ror,ror,0.07,2057,1957.0,DE0 27
DE0 D5 ror,ror,0.755,2057,1957.0,DE0 D5
DE0 11 ror,ror,0.37,2057,1957.0,DE0 11
DE0 21 ror,ror,0.8800000000000001,2057,1957.0,DE0 21
DE0 22 ror,ror,0.05,2057,1957.0,DE0 22
DE0 21 ror,ror,0.15,2057,1957.0,DE0 21
DE0 21 ror,ror,0.09,2057,1957.0,DE0 21
DE0 12 ror,ror,0.075,2057,1957.0,DE0 12
DE0 73 ror,ror,0.97,2057,1957.0,DE0 73
DE0 80 ror,ror,0.145,2057,1957.0,DE0 80
DE0 11 ror,ror,0.075,2057,1957.0,DE0 11
DE0 D4 ror,ror,0.617,2057,1957.0,DE0 D4
DE0 D4 ror,ror,0.155,2057,1957.0,DE0 D4
DE0 22 ror,ror,0.1,2057,1957.0,DE0 22
DE0 D4 ror,ror,0.25,2057,1957.0,DE0 D4
DE0 E0 ror,ror,0.34,2057,1957.0,DE0 E0
