,p_nom,carrier,bus
DE0 80 offwind-ac,399.044,offwind-ac,DE0 80
DE0 94 offwind-ac,2159.02,offwind-ac,DE0 94
DE0 F0 offwind-ac,976.422,offwind-ac,DE0 F0
DE0 80 offwind-dc,361.664,offwind-dc,DE0 80
DE0 94 offwind-dc,2082.856,offwind-dc,DE0 94
DE0 F0 offwind-dc,1091.602,offwind-dc,DE0 F0
DE0 11 onwind,958.977443,onwind,DE0 11
DE0 12 onwind,181.43955,onwind,DE0 12
DE0 13 onwind,254.80814999999998,onwind,DE0 13
DE0 14 onwind,171.30331999999999,onwind,DE0 14
DE0 21 onwind,215.59297999999998,onwind,DE0 21
DE0 22 onwind,30.925089999999997,onwind,DE0 22
DE0 23 onwind,284.46635,onwind,DE0 23
DE0 24 onwind,683.34496,onwind,DE0 24
DE0 25 onwind,607.969425,onwind,DE0 25
DE0 26 onwind,545.69463,onwind,DE0 26
DE0 27 onwind,167.58944,onwind,DE0 27
DE0 30 onwind,12.416915,onwind,DE0 30
DE0 40 onwind,6963.9864,onwind,DE0 40
DE0 60 onwind,124.5472,onwind,DE0 60
DE0 71 onwind,480.2825,onwind,DE0 71
DE0 72 onwind,877.08305,onwind,DE0 72
DE0 73 onwind,723.02035,onwind,DE0 73
DE0 80 onwind,3527.32595,onwind,DE0 80
DE0 91 onwind,865.0745,onwind,DE0 91
DE0 92 onwind,1723.852,onwind,DE0 92
DE0 93 onwind,3283.9995,onwind,DE0 93
DE0 94 onwind,5486.5014,onwind,DE0 94
DE0 A1 onwind,631.87344,onwind,DE0 A1
DE0 A2 onwind,1215.4349,onwind,DE0 A2
DE0 A3 onwind,1673.489,onwind,DE0 A3
DE0 A4 onwind,1533.8796,onwind,DE0 A4
DE0 A5 onwind,812.33854,onwind,DE0 A5
DE0 B1 onwind,1279.1903,onwind,DE0 B1
DE0 B2 onwind,978.7035,onwind,DE0 B2
DE0 B3 onwind,1428.0499,onwind,DE0 B3
DE0 C0 onwind,462.1274,onwind,DE0 C0
DE0 D2 onwind,563.6842,onwind,DE0 D2
DE0 D4 onwind,459.9069,onwind,DE0 D4
DE0 D5 onwind,257.85446,onwind,DE0 D5
DE0 E0 onwind,5147.6061,onwind,DE0 E0
DE0 F0 onwind,6752.78987,onwind,DE0 F0
DE0 G0 onwind,1639.7738,onwind,DE0 G0
DE0 11 solar,2045.039781,solar,DE0 11
DE0 12 solar,1180.357264,solar,DE0 12
DE0 13 solar,1323.563512,solar,DE0 13
DE0 14 solar,1701.393329,solar,DE0 14
DE0 21 solar,2713.139715,solar,DE0 21
DE0 22 solar,2932.695416,solar,DE0 22
DE0 23 solar,1428.231933,solar,DE0 23
DE0 24 solar,985.347688,solar,DE0 24
DE0 25 solar,1386.057574,solar,DE0 25
DE0 26 solar,1305.949231,solar,DE0 26
DE0 27 solar,2398.7639130000002,solar,DE0 27
DE0 30 solar,109.056262,solar,DE0 30
DE0 40 solar,3844.250281,solar,DE0 40
DE0 60 solar,49.021477,solar,DE0 60
DE0 71 solar,774.865028,solar,DE0 71
DE0 72 solar,498.255782,solar,DE0 72
DE0 73 solar,900.786483,solar,DE0 73
DE0 80 solar,1967.976643,solar,DE0 80
DE0 91 solar,496.60641400000003,solar,DE0 91
DE0 92 solar,743.755394,solar,DE0 92
DE0 93 solar,838.549105,solar,DE0 93
DE0 94 solar,2189.330261,solar,DE0 94
DE0 A1 solar,955.259121,solar,DE0 A1
DE0 A2 solar,874.024447,solar,DE0 A2
DE0 A3 solar,1525.532935,solar,DE0 A3
DE0 A4 solar,1111.129134,solar,DE0 A4
DE0 A5 solar,831.587053,solar,DE0 A5
DE0 B1 solar,774.55503,solar,DE0 B1
DE0 B2 solar,560.473162,solar,DE0 B2
DE0 B3 solar,951.7872735,solar,DE0 B3
DE0 C0 solar,479.304939,solar,DE0 C0
DE0 D2 solar,831.197665,solar,DE0 D2
DE0 D4 solar,585.080266,solar,DE0 D4
DE0 D5 solar,629.739801,solar,DE0 D5
DE0 E0 solar,2675.473827,solar,DE0 E0
DE0 F0 solar,1715.435322,solar,DE0 F0
DE0 G0 solar,1591.467956,solar,DE0 G0
