,bus,carrier,p_nom,year_removed
DE0 0 onwind,DE0 0,onwind,17.4833,2044
DE0 0 solar,DE0 0,solar,645.421388,2044
DE0 1 onwind,DE0 1,onwind,24.300800000000002,2044
DE0 1 solar,DE0 1,solar,493.501609,2044
DE0 2 onwind,DE0 2,onwind,150.9,2044
DE0 2 solar,DE0 2,solar,379.011622,2044
DE0 3 offwind-ac,DE0 3,offwind-ac,341.91,2044
DE0 3 offwind-dc,DE0 3,offwind-dc,321.97,2044
DE0 3 onwind,DE0 3,onwind,222.1715,2044
DE0 3 solar,DE0 3,solar,485.923232,2044
DE0 4 offwind-ac,DE0 4,offwind-ac,7.0,2044
DE0 4 offwind-dc,DE0 4,offwind-dc,20.0,2044
DE0 4 onwind,DE0 4,onwind,259.136,2044
DE0 4 solar,DE0 4,solar,676.9906569999999,2044
DE0 5 onwind,DE0 5,onwind,112.60000000000001,2044
DE0 5 solar,DE0 5,solar,361.7413555,2044
DE0 0 onwind,DE0 0,onwind,39.65348,2043
DE0 0 solar,DE0 0,solar,631.962208,2043
DE0 1 onwind,DE0 1,onwind,84.9424,2043
DE0 1 solar,DE0 1,solar,381.915644,2043
DE0 2 onwind,DE0 2,onwind,275.881,2043
DE0 2 solar,DE0 2,solar,259.661592,2043
DE0 3 offwind-ac,DE0 3,offwind-ac,493.40000000000003,2043
DE0 3 offwind-dc,DE0 3,offwind-dc,481.40000000000003,2043
DE0 3 onwind,DE0 3,onwind,920.238,2043
DE0 3 solar,DE0 3,solar,391.191984,2043
DE0 4 onwind,DE0 4,onwind,475.79,2043
DE0 4 solar,DE0 4,solar,897.096753,2043
DE0 5 onwind,DE0 5,onwind,530.39,2043
DE0 5 solar,DE0 5,solar,285.258978,2043
DE0 0 onwind,DE0 0,onwind,355.01279999999997,2042
DE0 0 solar,DE0 0,solar,335.945236,2042
DE0 1 onwind,DE0 1,onwind,377.416,2042
DE0 1 solar,DE0 1,solar,220.922665,2042
DE0 2 onwind,DE0 2,onwind,738.0055,2042
DE0 2 solar,DE0 2,solar,151.26073,2042
DE0 3 offwind-ac,DE0 3,offwind-ac,419.85,2042
DE0 3 offwind-dc,DE0 3,offwind-dc,449.25,2042
DE0 3 onwind,DE0 3,onwind,2071.3471,2042
DE0 3 solar,DE0 3,solar,166.041526,2042
DE0 4 offwind-ac,DE0 4,offwind-ac,205.0,2042
DE0 4 offwind-dc,DE0 4,offwind-dc,178.79999999999998,2042
DE0 4 onwind,DE0 4,onwind,1076.216,2042
DE0 4 solar,DE0 4,solar,378.707619,2042
DE0 5 onwind,DE0 5,onwind,707.0258,2042
DE0 5 solar,DE0 5,solar,162.215151,2042
DE0 0 onwind,DE0 0,onwind,349.85438,2041
