year,co2limit
2019,250000000.0
2020,221000000.0
2021,215000000.0
2022,209000000.0
2023,203000000.0
2024,197000000.0
2025,191000000.0
2026,185000000.0
2027,179000000.0
2028,173000000.0
2029,167000000.0
2030,161000000.0
2031,150420000.0
2032,139840000.0
2033,129260000.0
2034,118680000.0
2035,108100000.0
2036,97520000.0
2037,86940000.0
2038,76360000.0
2039,65780000.0
2040,55200000.0
2041,44160000.0
2042,33120000.0
2043,22080000.0
2044,11040000.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
