id,name,carrier,technology,component,country,p_nom,max_hours,volume_mm3,damheight_m,yearcommissioned,retrofit,lat,lon,projectid,yeardecommissioning,bus
26,Markersbach psw markersbach pss markersbach germany,hydro,Pumped Storage,Store,DE,1045.2,3.816494450822809,6.3,285.0,1979,1979.0,50.51938,12.87976,"{'JRC': ['H13'], 'OPSD': ['BNA0652'], 'ENTSOE': ['11WD8MARK1H----7'], 'GEO': ['GEO44337'], 'CARMA': ['CARMA27280']}",2079,4559
55,Erzhausen psw erzhausen block erzhausen germany,hydro,Pumped Storage,Store,DE,220.0,4.681818181818182,1.6,287.0,1964,1998.0,51.89912,9.92452,"{'JRC': ['H208'], 'OPSD': ['BNA0558'], 'ENTSOE': ['11WD2ERZH0002682'], 'GEO': ['GEO44352'], 'CARMA': ['CARMA12680']}",2098,4763
65,Goldisthal psw goldisthal pss goldisthal germany,hydro,Pumped Storage,Store,DE,1052.0,7.652091254752853,12.0,302.0,2004,2004.0,50.50975864,11.02087498,"{'JRC': ['H12'], 'OPSD': ['BNA0350'], 'ENTSOE': ['11WD8GOLD1H----6'], 'GEO': ['GEO44336'], 'CARMA': ['CARMA15413']}",2104,4554
75,Koepchenwerk koepchenwerk koepchenwerk herdecke germany,hydro,Pumped Storage,Store,DE,165.0,3.206060606060606,1.533,155.0,1989,1989.0,51.41048,7.4531399999999906,"{'JRC': ['H291'], 'OPSD': ['BNA0443'], 'ENTSOE': ['11WD7KOEP2P--KWG'], 'GEO': ['GEO44351'], 'CARMA': ['CARMA22597']}",2089,4689
94,Niederaußem,lignite,OCGT,PP,DE,3406.0,0.0,0.0,0.0,1965,2009.0,50.99569200000001,6.669038999999999,"{'OPSD': ['BNA0709', 'BNA0713', 'BNA0706', 'BNA0712', 'BNA0705', 'BNA0707', 'BNA0708'], 'ENTSOE': ['11WD7NIED-B-KW-5'], 'GPD': ['WRI1005979'], 'GEO': ['GEO44319'], 'CARMA': ['CARMA31142']}",2054,4629
97,Lünen,coal,OCGT,PP,DE,1208.0,0.0,0.0,0.0,1962,2013.0,51.61349328,7.475942649333332,"{'OPSD': ['BNA0619', 'BNA0618', 'BNA1508'], 'ENTSOE': ['11WD7LUNE2S--KW8', '11WD7KWHU----KW9'], 'GPD': ['WRI1005911'], 'GEO': ['GEO44329', 'GEO45030'], 'CARMA': ['CARMA26211']}",2058,4691
117,Waldeck bringhausen waldeck waldeck germany,hydro,Pumped Storage,Store,DE,580.0,6.656896551724138,5.136,620.0,1931,2009.0,51.1665695,9.046466,"{'JRC': ['H74', 'H357'], 'OPSD': ['BNA0229', 'BNA0228'], 'ENTSOE': ['11WD2W2--0002757'], 'GEO': ['GEO44356', 'GEO44355'], 'CARMA': ['CARMA48779']}",2109,4738
221,Gundremmingen,nuclear,OCGT,PP,DE,1288.0,0.0,0.0,0.0,1984,1984.0,48.51608,10.39822,"{'OPSD': ['BNA0382'], 'ENTSOE': ['11WD7KRBG1K-KW-V'], 'GEO': ['GEO3430'], 'CARMA': ['CARMA16304']}",2034,3492
227,Grohnde,nuclear,OCGT,PP,DE,1360.0,0.0,0.0,0.0,1985,1985.0,52.035641,9.413497,"{'OPSD': ['BNA0251'], 'ENTSOE': ['11WD2GHKW000296G'], 'GEO': ['GEO3414'], 'CARMA': ['CARMA15978']}",2035,4592
230,Cuno herdecke,CCGT,CCGT,CHP,DE,417.0,0.0,0.0,0.0,2007,2007.0,51.40313,7.4155,"{'OPSD': ['BNA0442'], 'ENTSOE': ['11WD7GARE5XHEKWQ'], 'GEO': ['GEO44313'], 'CARMA': ['CARMA17529']}",2047,4689
232,Herne,coal,OCGT,CHP,DE,449.0,0.0,0.0,0.0,1989,2013.0,51.550753,7.187481,"{'OPSD': ['BNA0450'], 'ENTSOE': ['11WD7HERN2S--KWU'], 'GEO': ['GEO44213'], 'CARMA': ['CARMA17557']}",2058,4676
233,Heyden,coal,OCGT,PP,DE,875.0,0.0,0.0,0.0,1987,1987.0,52.38279238,8.996004114,"{'OPSD': ['BNA0793'], 'ENTSOE': ['11WD2HEKW000297X'], 'GEO': ['GEO44199'], 'CARMA': ['CARMA17614']}",2032,4743
